member_name,sitting_date,parliamentary_period,parliamentary_session,political_party,government,roles,member_gender,speech
φαμελλος πετρου σωκρατης,18/05/2020,period 18 review 9,session 1,συνασπισμος ριζοσπαστικης αριστερας,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['βουλευτης'],male, Κύριε Πρόεδρε θυμίσω Υφυπουργό σκέλος ερώτησης ισχύουν δημοσιεύτηκαν σχετικά επίτευξη στόχων παραλείψεις εκ μέρους συστήματος πλημμελή εφαρμογή μεθόδων ανακύκλωσης απώλεια ουσιαστικά πόρων κοινωνία ανακύκλωση Αυτό ουσιαστικό Θα ήθελα απάντηση Το δεύτερο Υπουργός έπρεπε γνωρίζει Ελληνικός Οργανισμός Ανακύκλωσης επέστρεψε φορές επιχειρησιακό σχέδιο σύστημα τροποποιήσει γι’ καθυστέρηση Θα έπρεπε δώσει χρονολογική σειρά κύριε Υφυπουργέ Και δύο διοικητικά συμβούλια ακυρώθηκαν συμβατούς τρόπους Θα έλεγα παράτυποι γνωρίζετε βγει δημοσιότητα ανέφερα ακυρώθηκαν δύο διοικητικά συμβούλια ήθελαν κρύψουν ανακύκλωση περιμένοντας εκλογές Γι’ δικαιούται Κοινοβούλιο ρωτήσει Εξαιτίας εκλογών υπάρχει αλλαγή στάσης μεριά Κυβέρνησης τυπικών υποχρεώσεων συστημάτων ανακύκλωσης Αυτά υπηρεσία εισήγαγε συμβούλιο διάβασα υπηρεσιακές εισηγήσεις ισχύουν ή Θα αλλάξουν πολιτικούς όρουςΤο Συμβούλιο καθυστερημένα τοποθετήθηκε ενέκρινε σύστημα Εσείς είπατε τοποθετήθηκε Συμβούλιο Οργανισμού Ανακύκλωσης μπήκε Νοέμβριο Καθυστέρησε τέσσερις πέντε μήνες Για ποιο ενέκρινε σύστημα εισήγηση κατατέθηκε εκ υστέρων Ανταποδοτική Ανταποδοτική σειρά Για ποιο εγκρίθηκε σύστημα Ελληνικής Εταιρείας Αξιοποίησης Ανακύκλωσης Ανταποδοτικής εντοπίζονταιΌμως προκύπτουν ζητήματα πρακτικά ερώτημα γίνεται «Έχει αρμοδιότητα Υπουργείο Περιβάλλοντος ανακύκλωση ή όχι» διότι συνέχεια ανέλαβε νέα Κυβέρνηση βλέπουμε υπάρχει εκκρεμότητα ΕΟΑΝ είπατε προλαβαίνει πολλή δουλειά ή καθυστέρησε τοποθετηθεί Υπουργείο Εσωτερικών ανακοινώνει πιλοτικό πρόγραμμα σαράντα πέντε κέντρα Ανταποδοτικής Ανακύκλωσης πέντε δήμους Το ερώτημα επιχειρησιακό πλαίσιο συστήματος πρωτοβουλία Υπουργείου Εσωτερικών Ανακοινώνει Υπουργείο Εσωτερικών πρωτοβουλίες αντιστοιχούν Υπουργείο Περιβάλλοντος ξέρει Υπουργείο Περιβάλλοντος εγκρίνει επιχειρησιακό σχέδιο συστήματοςΣτη συνέχεια βλέπουμε έρχεστε νόμο αδειοδοτείτε εκ υστέρων εγκαταστάσεις παρ’ επισημάνει Βουλή υπάρχει ορισμός νόμο απαλλάξατε οικοδομική αδειοδότηση Και γνωρίζετε καθηγητής απαιτείται προσδιορισμόςΚαι βλέπουμε κύριε Πρόεδρε πρωτοβουλιών Υπουργείου Εσωτερικών υπερβαίνει Υπουργείο Περιβάλλοντος παράβαση αρμοδιότητας προχωράει –γιατί απουσιάζετε συζητήσεις Υπουργείου Περιβάλλοντος απόσπασμα καταθέσω κύριε Πρόεδρε 2112020 Εκτελεστικής Επιτροπής Ενιαίου Συνδέσμου Αθήνας λέει εγκαθίσταται δέκα χιλιάδες σημεία εξοπλισμός συστήματος κύριε Υφυπουργέ εκκρεμεί αδειοδότηση υπάρχουν σοβαρές καταγγελίες Όμως εκκρεμεί αδειοδοτούνται προχωράει εγκατάσταση εξοπλισμού κ Πατούλη Αττική ορίζει σχεδίου ή όχιΆρα κύριε Υφυπουργέ ερώτημα γίνεται δύσκολο Όλα εξελίσσονται αδειοδοτείται σύστημα περιλαμβάνονται σχεδιασμό Αντιστοιχούν αρνητική κριτική υπηρεσία διατυπώσει σύστημα Και ποιο επιλύει γόρδιο δεσμό Υπουργείο Περιβάλλοντος Και ποιο απουσιάζει πρωτοβουλίες αναλαμβάνει νησιά πέντε πιλοτικούς δήμους Υπουργείου Εσωτερικών εφόσον γνωρίζει συγκρότηση νέας Κυβέρνησης Γενική Γραμματεία Αποβλήτων ήρθε Υπουργείο Περιβάλλοντος υπάρχει αρμοδιότητα εναπομείνασα Υπουργείο ΕσωτερικώνΤο ερώτημα τέλει κύριε Υφυπουργέ κάνει Κυβέρνηση Μητσοτάκη βοηθήσει ανακύκλωση στιγμής βλέπουμε υπάρχουν καθυστερήσεις περίεργες εγκρίσεις υπάρχει πιστοποίηση συστήματος έλεγχος Και ανησυχεί ουσίας χώρα μαςΣυγγνώμη χρόνος επιτρέπει επεκταθώΚαταθέτω Πρακτικά έγγραφο ανέφερα  Τα υπόλοιπα γραμμένα ερώτησηΣας ευχαριστώ
μπουρας κωνσταντινου αθανασιος,18/05/2020,period 18 review 9,session 1,νεα δημοκρατια,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['γ αντιπροεδρος βουλης(18/07/2019-28/07/2020)'],male, Ορίστε κύριε Υπουργέ δευτερολογία σας
δημητριος οικονομου,18/05/2020,period 18 review 9,session 1,εξωκοινοβουλευτικός,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['υφυπουργος περιβαλλοντος και ενεργειας(07/09/2019-27/07/2020)'],male, ΕυχαριστώΕπιμένετε υπάρχει καθυστέρηση Σας θυμίζω επιχειρησιακό σχέδιο ανακύκλωσης ΕΟΑΝ κατατέθηκε 26 Μαρτίου Μέχρι Ιούνιο πέρασαν μήνες Το σ’ διάστημα καμμία κίνηση φτάσουν εκλογές προχωρήσει ζήτημα προφανώς καθυστέρηση προηγηθεί οκτάμηνο προηγουμένως Άρα τίθεται θέμα προηγουμένως υπήρξε καθυστέρησηΔεύτερον Νοέμβρη 2019 συνέχισε προηγούμενη διοίκηση ΕΟΑΝ Η Γιατί Δεν διορίσει Κυβέρνηση Μητσοτάκη Είχε διοριστεί προηγούμενη φάση Αυτή συνέχισε αδρανεί Σε σχέση μ’ αναφέρετε ερώτηση διακοπές συνεδριάσεων δίκιο Υπουργείο Περιβάλλοντος τοποθετηθεί Αν διακοπές συνεδριάσεων ΕΟΑΝ αρμόδιος φορέας χειριστεί θέμα τρόπο προβλέπει κείμενη νομοθεσίαΆρα υπάρχει θέμα καθυστέρησης Αν υπάρχει καθυστέρηση υπήρξαν προηγουμένως πέντεΑναφορικά τρίτο ερώτημά ποια επιμέρους στοιχεία αξιολόγησης συμμόρφωσης φορέα ΣΕΔ ανακύκλωσης αρμοδιότητα ΕΟΑΝ Υπουργείου Περιβάλλοντος Μπορείτε μάθετε έγγραφα καταθέσουμεΑναφορικά τέταρτο πέμπτο ερώτημα σχετικά επιχειρησιακό σχέδιο προχωρεί πιλοτικό πρόγραμμα Υπουργείου Εσωτερικών μάθετε Υπουργείο Εσωτερικών Δεν ξέρω υποβάλει αίτηση Υπουργείο Εσωτερικών Είναι αρμοδιότητα Υπουργείου Εσωτερικών Επί έκτου ερωτήματος γνώση Υπουργείου Περιβάλλοντος στοιχεία αξιολόγηση πιλοτικού προγράμματος ανταποδοτικής ανακύκλωσης καταγράφονται σύμφωνα δηλώσεις Υπουργού Εσωτερικών ανεξάρτητη επιστημονική ομάδα μπορώ απαντήσω συγκεκριμένα ζητάτε γνώση Υπουργείου Περιβάλλοντος Ευχαριστώ
μπουρας κωνσταντινου αθανασιος,18/05/2020,period 18 review 9,session 1,νεα δημοκρατια,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['γ αντιπροεδρος βουλης(18/07/2019-28/07/2020)'],male, Κι ευχαριστούμε κύριε ΥπουργέΠροχωράμε δεύτερη αριθμό 49941732020 ερώτηση κύκλου αναφορώνερωτήσεων Βουλευτή Β΄ Θεσσαλονίκης Συνασπισμού Ριζοσπαστικής Αριστεράς κ Σωκράτη Φάμελλου Υπουργό Περιβάλλοντος Ενέργειας θέμα «Αυξήσεις τιμολόγια ύδρευσηςαποχέτευσης αύξηση τιμολογίων ΔΕΗ»Ορίστε κύριε Φάμελλε πρωτολογία δύο λεπτά
φαμελλος πετρου σωκρατης,18/05/2020,period 18 review 9,session 1,συνασπισμος ριζοσπαστικης αριστερας,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['βουλευτης'],male, Ευχαριστώ κύριε ΠρόεδρεΠάλι πλαίσιο Η Κυβέρνηση απαντά ερώτηση Έρχεται Υφυπουργός αρμοδιότητα Ο κ Χατζηδάκης απουσιάζει κ Θωμάς μέρει θέμα ενέργειας μπορούσε βοηθήσει χρεώθηκε σ’ ερώτησηΥπάρχουν σοβαρά προβλήματα φαίνεται επιτελικό κράτος καταλάβει σημαίνει επιτελικότητα Βουλευτές πολίτες παραμένουν απαντήσεις Βέβαια πω κύριο Υφυπουργό υποσχεθεί παλαιότερη συζήτησή καταθέσω έγγραφα αφορούν θέμα επηρεάζει κόστος ενέργειας κόστος ύδρευσης πολιτών πολίτες δήμοι ανταποκριθούν υποχρεώσεις προβλήματα δημιουργεί Κυβέρνηση κ ΜητσοτάκηΈτσι 17 Μαρτίου υποβάλαμε ερώτηση σχετικά πόσο σημαντική επίπτωση τιμολόγια ύδρευσης αδικαιολόγητη άδικη αύξηση ενέργειας 1η Σεπτεμβρίου κ Χατζηδάκης ΔΕΗ Μάλιστα πω έντονες επιπτώσεις πανδημίας –ή εικόνα σήμερα διότι γίνεται διπλά επίκαιρη ερώτηση ερώτηση διότι –πρώτον προφανώς θέλει γίνονται αυξήσεις τιμολόγια ύδρευσης –δεύτερον διότι περίοδο ζητήσαμε κοινωνία μείνει σπίτι μπορέσει προφυλαχθεί καταλαβαίνετε πόσο επώδυνο κοινωνία ευάλωτες κοινωνικές ομάδες ή επιχειρηματίες κοπεί νερό ή αυξηθεί νερόΩς εκ δημιουργούνται δύο προβλήματα Το ευθύνη Κυβέρνηση διότι αύξησε κόστος ενέργειας δήμοι ανταποκριθούν αυξάνουν τιμολόγια ύδρευσης δεύτερο κάνει πανδημία μπροστά μπροστά κρίση έρθει διότι Κυβέρνηση αδυνατεί κατανοήσει ή θέλει πάρει μέτρα λύσει ζήτημα οικονομικής κρίσηςΚι υποβάλλουμε ημέρα απόφαση Διοικητικού Συμβουλίου ΔΕΥΑ Θέρμης Δημοτικής Επιχείρησης Ύδρευσης Αποχέτευσης Θέρμης λέει «Εφ’ ενεργειακό κόστος 44 κόστους ετήσιου εφ’ αύξηση κόστους ενέργειας 187 επιλογή Κυβέρνησης Μητσοτάκη υποχρεούμαι αυξήσω τιμολόγια ύδρευσης έσοδά 17»Άρα κύριε Πρόεδρε πολίτες επιχειρηματίες περιοχής πληρώσουν χρονιά 17 ύδρευση –και αποχέτευση προφανώς καλύψουν αύξηση κόστους μισή ενέργεια απόφαση κ ΧατζηδάκηΆρα προκύπτει ζήτημα γίνει κοινωνικά οικονομικά αποδεκτό γίνει διότι υπερβαίνει ανώτατο όριο αυξήσεων τιμολογίων ύδατος θεσπιστεί υπουργική απόφαση θεσμοί ευρωπαϊκή οδηγία 2060 επέβαλαν Ελλάδα Δηλαδή κάναμε μεταρρύθμιση κόστος ύδατος προκύπτει βάση ανάλυση κόστους μεγάλες αυξήσεις οικολογικό κοινωνικό τιμολόγιο έρχεται μεταρρύθμιση κυβέρνησης ΣΥΡΙΖΑ έγκριση ευρωπαϊκών θεσμών σαφέστατα περιβαλλοντική κοινωνικά ωφέλιμη καταργήσει Κυβέρνηση Μητσοτάκη διότι αυξάνει κόστος ενέργειας αναγκάζονται δήμοι ή κλείσουν επιχειρήσεις ύδρευσης ή αυξήσουν κόστος 177 πολίτεςΑυτή ερώτηση Πώς γίνει παράβαση υπουργικής απόφασης νομοθεσίας Ευρώπη έλεγε λάβουμε Άρα καταργείται μεταρρύθμιση κύριε ΟικονόμουΣας καταθέτω Πρακτικά προαναφερθέν έγγραφο  Ευχαριστώ πολύ
μπουρας κωνσταντινου αθανασιος,18/05/2020,period 18 review 9,session 1,νεα δημοκρατια,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['γ αντιπροεδρος βουλης(18/07/2019-28/07/2020)'],male, Κύριε Υπουργέ λεπτά
δημητριος οικονομου,18/05/2020,period 18 review 9,session 1,εξωκοινοβουλευτικός,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['υφυπουργος περιβαλλοντος και ενεργειας(07/09/2019-27/07/2020)'],male, Όσον αφορά ερώτημα γνωρίζετε μηχανισμός παρακολούθησης εποπτείας υπηρεσιών ύδατος χρησιμοποιεί πληροφορικό σύστημα ενημερώνεται ετησίως ηλεκτρονικά στοιχεία σχετικά δραστηριότητά τουΤα στοιχεία προηγούμενου έτους υποβάλλονται τελευταίου εξαμήνου τρέχοντος έτους Αυτά αξιοποιούνται Διευθύνσεις Ύδατος Αποκεντρωμένων Διοικήσεων σύνταξη ετήσιων εκθέσεων συνέχιση διαδικασίας ελέγχου θεμάτωνΒάσει μηχανισμό παρακολούθησης εισαχθεί παρόχους στοιχεία έτη 2017 2018 Τα στοιχεία 2019 εισαχθούν εξάμηνο 2020 Όταν εισαχθούν νομοθεσία Κυβερνήσεως Μητσοτάκη προηγούμενη περίοδο στοιχεία ΔΕΥΑ Θέρμης εισαγάγει στοιχεία 2019 2018 κατατέθηκαν πρόσφατα δύο εβδομάδες προφανώς καταχωριστούν σύστημα ακολουθηθεί κανονική διαδικασία Για ώρα μπορούμε αξιολογήσουμε στοιχεία έχουμεΈχω καταθέσω Πρακτικά μπλέξω νούμερα συγκριτικά στοιχεία κόστος ηλεκτρικού τρέχουσα χρέωση Θα καταθέσω Πρακτικά μπορείτε επεξεργαστείτεΜετά εισαγωγή στοιχείων ΔΕΥΑ Θέρμης 2019 γίνει κανονικά είπα αξιολογηθούν στοιχεία αξιοποιηθούν Διεύθυνση Υδάτων Αποκεντρωμένης Διοίκησης Μακεδονίας  Θράκης συνεργασία Γενική Διεύθυνση Υδάτων πλαίσιο σύνταξης σχετικής έκθεσης Διεύθυνση Υδάτων εκδώσει σχετικές συστάσεις συμμόρφωση παρόχου ζητώντας πάροχο προβεί δέουσες διορθωτικές ενέργειες Αυτό κάνει Δεν στιγμή διατάξει πάροχο κάνει Κινείται πλαίσιο αρμοδιοτήτων νομοθεσία νομοθεσία υπάρχει καινούργιοΌσον αφορά δεύτερο ερώτημα αναφέρθηκα λειτουργικά οικονομικά στοιχεία έτους 2019 υπήρξαν μεταβολές τιμολογιακή πολιτική ΔΕΗ περίπτωση περιοχής Θέρμης καλύπτει ΔΕΥΑ Θέρμης χώρα Αυτά καταχωριστούν δεύτερο εξάμηνο είπα Επομένως στιγμή ξέρουμε υπάρχουν αντίστοιχες αποφάσεις αύξησης αντίστοιχες υπηρεσίες ΔΕΥΑΘ Δεν γνωρίζουμε κατατεθεί Άρα ρωτάτε δυνατό απαντήσουμε στιγμή Όταν στοιχεία μπορούμε απαντήσουμεΘα συνεχίσω δευτερολογία μου
μπουρας κωνσταντινου αθανασιος,18/05/2020,period 18 review 9,session 1,νεα δημοκρατια,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['γ αντιπροεδρος βουλης(18/07/2019-28/07/2020)'],male, Ευχαριστούμε κύριε ΥπουργέΚύριε Φάμελλε δευτερολογία λεπτά
φαμελλος πετρου σωκρατης,18/05/2020,period 18 review 9,session 1,συνασπισμος ριζοσπαστικης αριστερας,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['βουλευτης'],male, Κύριε Πρόεδρε επισήμανα εξαρχής υπάρχει αναντιστοιχία Ο Υπουργός χαρτοφυλάκιο γνωρίζει θέμα δοθεί στοιχεία κάνουμε κοινοβουλευτικό έλεγχο Δεν κυβέρνηση διατείνεται πράσινο Πρωθυπουργό λέει γνωρίζει Υπουργείο Περιβάλλοντος γίνεται τιμολογιακή πολιτική νερού ή κάνει ανακύκλωση Υπουργείο Εσωτερικών αρμοδιότητα Υπουργείο Περιβάλλοντος Είναι απαράδεκτα οφείλω πω δημοσίως κύριε Υφυπουργέ λέτε γνωρίζετε φρόνιμα σκεφτήκαμε Δεκέμβριο 2019 κάναμε ερώτηση τιμολόγηση νερού κι Δεν φορά κάνουμε κύριε Πρόεδρε Προειδοποιήσαμε Προσέξτε δήμοι στέλνουν κι πράγματι τηρείται κανόνας κόφτη αυξήσεων οικολογικό τιμολόγιο κοινωνικό τιμολόγιο βάση δεδομένων Όμως Κυβέρνηση κύριε Πρόεδρε Κατήργησε Ειδική Γραμματεία Υδάτων διέλυσε βάσεις δεδομένων σταμάτησε έλεγχο δήμων διέκοψε μεταρρύθμιση νερό ανακύκλωση Πρακτικά κάνει Κυβέρνηση κλείνει Υπουργείο Περιβάλλοντος Και γνωρίζετε κύριε Υφυπουργέ κάναμε ερώτηση Δεκέμβριο ενημερώσουμε απαντήσετε ερώτηση Μάρτιο απαντήσατε Κύριε Υφυπουργέ συγγνώμη κάνουμε Θα αντικαταστήσουμε Να προκηρύξετε εκλογές αντικαταστήσουμε μπορείτε διοικήσετε Υπουργείο Περιβάλλοντος Όμως περίεργο λέτε γνωρίζετε δώσαμε έγγραφα δείχνουν αυξάνεται κόστος νερού λέτε «δεν ξέρουμε περιμένουμε ενημερώσει δήμος εξάμηνο» Μα δυνατόν Δεν κάνετε στηρίξετε κοινωνία Εγώ λέω υπάρχουν δήμοι αδυνατούν καλύψουν κόστος έρχομαι επισήμως λέω Η ένωση ΔΕΥΑ κύριε Πρόεδρε ΔΕΥΑ Ελλάδα καταθέσει ντοκουμέντα λένε αύξηση 20 Η Ένωση ΔΕΥΑ Δεύτερο δεδομένο σάς καταθέτω Άρα Ελλάδα μεγάλο πρόβλημα αύξησης κόστους ενέργειας κόστους νερού αποχέτευσης κάνει Κυβέρνηση Πρέπει πω σήμερα ΔΕΗ πουλάει υπερδιπλάσια κόστος παραγωγής ενέργεια διότι άδικες αυξήσεις πέσει τιμή πρώτης ύλης Δεν κάνει γι’ Κυβέρνηση Δηλαδή υπερδιπλάσια κόστους πουλάμε κύριε Πρόεδρε ενέργεια βοηθήσουμε ύδρευση αποχέτευση Ένωση ΔΕΥΑ λέει ΔΕΥΑ τουριστικής περιοχής κύριε Πρόεδρε κόστος άντλησης 750000 ευρώ 2010 πήγε σήμερα 35 εκατομμύρια ένωση ΔΕΥΑ λέει γνωρίζοντας 2015 2019 αύξηση κόστους ενέργειας μείωσηΆρα κυβερνήσεις Νέας Δημοκρατίας καταστρέφουν πενταπλασιάζουν ενεργειακό κόστος δήμους επιχειρήσεις ύδρευσης βασικό αγαθό νερό αντεπεξέλθουν δήμοι μεγάλες μείζονος σημασίας υπηρεσίες αντιμετωπίζουν στενότητα λυθεί δανειοδότηση δεκαοκτώ μηνών μεριά δήμωνΔεν γνωρίζετε γίνεται κόστος ύδρευσης δεδομένα Το δεύτερο ερώτημα κύριε Υφυπουργέ Θα κάνετε βοηθήσετε ΔΕΥΑ Και κατάλαβα γνωρίζετε πράγματα γίνονται Υπουργείο επιτρέψετε κύριε Πρόεδρε πω καταθέτω δύο σημαντικά έγγραφα κλείνω κύριε Πρόεδρε Υπουργείου Οικονομικών Υπουργείου Περιβάλλοντος Πρακτικά παρακαλώ κύριο Υπουργό δώσει κ Χατζηδάκη Τα έγγραφα Μαΐου 2019Θα πείτε Τι λες κύριε Φάμελλε Με έγγραφα αποδεικνύεται τέλος Μαΐου 2019 Υπουργείο Οικονομικών ενέκρινε 282000 ευρώ κύριε Οικονόμου δώσετε φορείς προστασίας προστατευόμενων περιοχών αφήσατε Ιούλιο 1 ευρώ Και αποδεικνύουμε σήμερα Κοινοβουλευτική Ομάδα ΣΥΡΙΖΑ σχέδιο κ Χατζηδάκης έβαλε βρόχο φορείς προστατευόμενων περιοχών εγκριθεί χρηματοδοτήσεις Υπουργείο Οικονομικών Καταθέτω έγγραφα Υπουργείου Περιβάλλοντος έγκριση προϋπολογισμού Υπουργείο Οικονομικών Γενικό Λογιστήριο Κράτους διότι απαράδεκτο κλείνετε φορείς ταυτόχρονα λέτε ψέματα διότι εγκεκριμένη χρηματοδότηση οκτώ νέοι φορείς Καταθέτω κατάλογο καταβολή χρηματοδότησης γι’ φορείς Είναι θέματος γνωρίζετε πράγματα Υπουργείο Περιβάλλοντος ενημερώσουμε ορισμέναΕυχαριστώ 
μπουρας κωνσταντινου αθανασιος,18/05/2020,period 18 review 9,session 1,νεα δημοκρατια,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['γ αντιπροεδρος βουλης(18/07/2019-28/07/2020)'],male, Κύριε Υπουργέ απαντήσετε
